name,platform,handle,followers,posts_per_week,avg_views,avg_likes,avg_comments,er_percent,formats,visual_style_unified,offers_prices,best_content,notes,checked_at
Asia Travel,telegram,@asiatraveluz,,,,,,,,,,,,
Asia Travel,instagram,@asiatravel.uz,,,,,,,,,,,,
Poytaxt Travel,telegram,@poytaxttravel,,,,,,,,,,,,
Poytaxt Travel,instagram,@poytaxt_travel,,,,,,,,,,,,
Grand Voyage,telegram,@grandvoyageuz,,,,,,,,,,,,
Grand Voyage,instagram,@grandvoyage.uz,,,,,,,,,,,,
Salom Travel,telegram,@salomtraveluz,,,,,,,,,,,,
Salom Travel,instagram,@salomtravel,,,,,,,,,,,,
Marakanda Travel,telegram,@marakandatravel,,,,,,,,,,,,
Real Travel,telegram,@realtraveluz,,,,,,,,,,,,
Orient Voyage,telegram,@orientvoyage,,,,,,,,,,,,
Discovery Travel,telegram,@discoverytraveluz,,,,,,,,,,,,
Travelata,telegram,@travelata,,,,,,,,,,,,
Level.Travel,telegram,@leveltravel,,,,,,,,,,,,
Onlinetours,telegram,@onlinetours,,,,,,,,,,,,
Tez Tour,telegram,@teztour,,,,,,,,,,,,
Anex Tour,telegram,@anextour,,,,,,,,,,,,
Samokatus,telegram,@samokatus,,,,,,,,,,,,
